Pretty Formula,Density,Band Gap
LiH,0.8143957267599748,3.018
BeH2,0.8075345057574178,5.341799999999999
B3H5,0.8115989706218019,3.6982999999999997
HC,1.4092697592291976,3.091
HN,1.3368112549648163,4.159800000000001
H2O2,1.83476736598444,4.1525
HF,1.7215409120537195,6.7187
NaH,1.3943801864850207,3.7974
MgH2,1.4501026387013276,3.6284
AlH3,1.4595111660744462,2.1855
SiH8,0.6116754151973525,7.026199999999999
PH3,0.6787026620013056,1.4884
H2S,1.1120655171015184,4.0901
HCl,1.140848334553483,5.1701
KH,1.4412285896091013,3.4696
CaH2,2.077239518232828,0.6833999999999998
CuH,6.673768880717793,0.5918000000000001
ZnH6,0.9571201692953708,3.2429000000000006
GeH4,2.172416735877394,1.1509
HBr,2.4359289390765735,4.486000000000001
RbH,2.6105970388475197,2.9687
SrH2,3.3177809035525567,3.1308
YH3,3.973309484838521,0.000700000000000145
AgH,7.757017769608881,0.8529999999999998
HI,2.881675189564981,4.0624
CsH,3.870623966274094,2.6482
BaH2,4.1063389265255505,2.8372
LaH3,5.472270945676496,0.4779
PrH3,5.806971913032242,0.1748000000000003
NdH3,5.513658278447439,0.04999999999999982
SmH3,6.09300153475126,0.17610000000000037
EuH2,6.3599177863928285,0.3647
GdH3,6.67144518781822,0.011699999999999822
TbH3,6.9149127933011485,0.0378999999999996
DyH3,7.216344985769394,0.3820000000000001
HoH3,7.479439164167621,0.028000000000000025
ErH3,7.682948898879707,0.4213
TmH3,7.975184582265744,0.4609000000000001
YbH2,7.380748841901626,0.03400000000000003
LuH3,9.476440417362134,0.03670000000000062
AcH3,7.80688345504138,0.9543999999999997
Pa3H,14.644907515764846,0.06909999999999883
LiB,2.098833687019991,1.4331000000000005
LiC,1.326924756274143,3.2822
Li3N,1.288609010112388,0.9858000000000001
Li2O,1.6835606217954757,2.6973
LiF,2.580181856437207,7.5592999999999995
Li3Al2,1.5386204461404829,0.24270000000000014
LiSi,1.1904964079091027,1.3767
LiP5,2.282759895845096,0.4421999999999997
Li2S,1.6295517490822542,3.4112
LiCl,2.0582444155677635,6.2506
Li2Ga7,4.6429977930248905,0.027099999999999902
LiAs,3.7138748798133014,0.3722000000000003
Li2Se,2.826921615445232,2.9974000000000003
LiBr,3.4418267009764394,4.9246
Sr19Li44,1.6870290253147124,0.04459999999999997
Li5Sn2,3.5558168709593114,0.1448999999999998
Li3Sb,2.9779825060008456,0.5321000000000002
LiTe3,5.409895186073934,0.22969999999999935
LiI,4.0634062184680895,4.2337
LiIr,12.141543668688207,0.014499999999999957
Li5Tl2,5.534064669538905,0.03469999999999995
Li17Pb4,3.9612503223716446,0.02629999999999999
Li3Bi,4.992100804704589,0.3607
Be2C,2.4612616266066016,1.1875
Be3N2,2.66463478829202,3.3533
BeO,2.9655490863507654,7.4597999999999995
BeF2,1.4929970442465097,7.9633
Mg149Be,1.7706439519949593,0.5261
Be3P2,2.256391376370561,0.21140000000000025
BeS,2.355668066290151,3.1434999999999995
BeCl2,1.6583287568722453,6.3332
BeSe,4.895412607162076,0.47279999999999944
BeBr2,2.755687685555712,5.1775
Be3Nb,4.710121198574592,0.06359999999999921
BeTe,4.98510733944444,2.0244999999999997
BeI2,3.8673936285936836,4.1400999999999994
Be5Pt,7.4692947275070285,0.1025999999999998
B13C2,2.438648037418913,0.008899999999999686
BN,3.30214298963956,4.788499999999999
B2O3,1.6580457228567478,4.231
B5F6,1.847656295808345,3.3048
Na2B29,2.383625355029516,0.1604000000000001
MgB4,2.5044156397335273,0.3705999999999996
SiB3,2.4499735446019497,1.4083000000000006
B6P,2.5888853940274603,2.5138999999999996
BS2,1.5563901594905443,2.5545
BCl,1.5020029467308262,0.9011
CaB6,2.4379946913203705,0.03840000000000021
BAs,5.087633693716703,1.2070999999999996
BSe2,3.241430136787769,1.7550000000000001
BBr3,2.3783030504338076,3.8285
SrB6,3.41706056581185,0.03479999999999972
Nb3B4,7.200765353611398,0.0032000000000005357
TcB,0.1231782922436769,1.4291
SnB6,4.110239816406315,0.7526999999999999
BSb,5.974004928960782,0.7525999999999993
BI3,3.1014613936521105,2.6818
BaB6,4.281989359501503,0.0354000000000001
EuB6,5.0132124133983655,0.6101000000000001
YbB6,5.614595438403912,0.02120000000000033
LuB2,9.640358754695297,0.12119999999999997
B6Pb,6.00381988528919,0.9208999999999996
BiB,8.617189402203188,0.00010000000000065512
CN2,2.5506277425143438,4.6433
CO2,3.0181864305807915,6.7726999999999995
C3F2,1.9215210663334668,2.9477
NaC,1.598476294235524,3.3914
Mg2C3,2.2016133496790697,1.6533000000000002
Al4C3,2.9308029396903637,1.3528000000000002
SiC,3.1727482430263216,1.9914999999999985
CS5,0.4752486774071221,0.5392999999999999
C7Cl8,1.9372119863856214,3.0327
KC10,2.0640205396999907,0.6144000000000003
CaC2,2.193301172540574,1.3527
Sc2C3,3.6603080130066843,0.014199999999999768
Mn23C6,7.843043126262275,0.002400000000000624
Fe3C,0.343036215867144,0.07570000000000032
GeC,5.783989580647134,2.3598
CSe2,2.7893519392090558,2.3535
C15Br7,2.9947894981361136,1.2305000000000001
RbC2,2.180093893054295,0.11339999999999995
SrC2,3.1501872259511647,2.2909
Y4C7,4.541710081014056,0.6144999999999996
ZrC,5.150547264153043,0.5028000000000001
RuC,7.892880871714976,0.6801999999999992
SnC,6.588144779927546,0.6257000000000001
CI4,3.9257829490911345,1.1002999999999998
CsC,3.701897230161852,3.1050999999999997
BaC10,3.5474899048537223,0.1988000000000003
EuC10,4.09107047114651,0.2464000000000004
Ho4C7,7.857241507408396,0.5866999999999996
YbC2,6.992808010747606,1.0344
HfC,9.868233973746744,0.32209999999999983
Os2C3,14.056193723349182,0.07920000000000016
Ir4C5,14.367745830064976,0.44980000000000153
NO4,2.0936240082276054,0.33299999999999996
N2F,1.4712280503517579,0.8492999999999999
NaN3,1.7411107613820707,4.1512
Mg3N2,2.661927823186272,1.5098999999999996
AlN,3.200889640442182,4.054000000000001
Si3N4,3.94604103230835,3.3331999999999997
P3N5,2.693616412033323,3.5819
S2N,1.7624867583781545,1.7095000000000002
N4Cl,2.04654903873433,0.04949999999999988
KN3,1.9328560196138618,4.1558
CaN6,2.14381851285056,3.5448999999999997
ScN,3.3399922943509828,2.4464
Ti19N25,4.292537252429669,0.0031999999999996476
CrN2,1.9424176791197187,0.11450000000000005
CoN12,1.6125695652598646,0.3037000000000001
CuN3,3.0481357270395946,1.5400000000000003
ZnN6,2.2851481902686226,2.902
GaN,4.143879539961921,0.07529999999999992
Ge3N4,6.337876487489494,1.9177
AsN9,2.2554182390398045,3.1511
SeN,3.532757764906477,1.9581999999999997
BrN4,2.813378732027276,0.08150000000000013
RbN3,2.5674194546334994,3.7529
SrN6,2.6156484954858765,3.7752
YN,5.5992917166956175,0.21440000000000037
Zr3N4,6.92932142113437,0.6807999999999996
Nb3N5,5.454902060081282,0.7012999999999994
Mo2N3,4.448425614396637,0.006699999999999928
PdN2,6.5886461306475885,0.5505999999999993
AgN3,4.322438318110006,1.5981
CdN6,3.0629096510983214,2.7759
InN,6.6418908932944705,9.999999999976694e-05
Sn3N4,7.164963867651282,0.23399999999999999
SbN,5.796316961051769,1.3441
IN5,4.863884001821942,0.0343
CsN2,3.3701164242558344,0.04939999999999989
Ba3N2,5.103254710461207,0.10890000000000022
LaN,5.760192281896169,1.1194999999999995
PrN,5.969068664279423,1.5791
NdN2,5.128869642919601,0.0034000000000000696
TbN,9.486435898192319,0.015600000000000058
DyN,9.888093043787894,0.05149999999999988
HoN,10.232722953014424,0.08429999999999982
ErN,10.5658294733128,0.13160000000000016
TmN,10.902961201670047,0.1687000000000003
Yb3N2,10.300574867561677,0.3433999999999999
LuN,11.663418943786157,0.24880000000000058
Hf3N4,10.521348199411603,0.9302000000000001
TaN,12.596234390462584,0.000600000000000378
WN2,9.747477121797642,0.5701999999999998
IrN2,12.990263900481294,0.3378999999999994
PtN2,12.613579944477946,0.6160999999999994
HgN6,4.06398034279368,2.6119
TlN3,5.449008726606365,1.7591999999999999
PbN6,4.475042925388195,2.2879000000000005
BiN,9.897901795906273,0.8056999999999999
AcN,7.91773718784033,0.06559999999999988
Th3N4,10.44819934872047,1.4820000000000002
UN2,12.015513001416792,0.7049000000000003
OF3,2.3615975464527534,0.7188000000000003
Na2O,2.350350052016279,1.8735
MgO,2.94047551079511,3.2582999999999998
Al2O3,3.1595663993864354,3.2885999999999997
SiO2,2.388957367665189,5.522
P4O9,2.3214560618201925,5.5685
SO5,1.516206271285304,1.8783999999999998
Cl2O7,2.0336450138317073,3.6544000000000003
K2O,1.7150209844659277,0.5071
CaO,2.779379481468302,3.1205999999999996
ScO2,3.5357535448307638,0.45650000000000013
TiO2,3.5449318283628615,1.7121000000000002
V2O5,2.5159676726004907,0.9500000000000001
Cr3O5,3.586174097316705,0.6500000000000001
Mn2O3,4.982650335480509,0.08369999999999989
FeO,4.64390292648534,0.43500000000000005
CoO2,4.672473053876777,0.4857
NiO2,3.295154947579308,1.7874
Cu2O3,5.5584854430711665,0.13070000000000004
ZnO,4.982001689823607,0.9207000000000001
Ga2O3,5.488993979972285,0.009100000000000108
GeO2,5.968561183669534,1.3714999999999993
AsO2,3.710884059811884,0.12110000000000004
SeO2,3.7317785854814574,3.2789
BrO4,1.9077455015942393,0.5223
RbO2,2.2682697789586332,0.08579999999999988
SrO,4.936046783546777,2.9368000000000003
YO2,3.849536176264489,0.2818
ZrO2,4.597083203949549,3.7246
Nb2O5,4.300420775947745,1.6746999999999999
Mo8O23,4.058628260522674,1.0384999999999998
Tc2O7,3.1120717092253427,2.6664
RuO4,2.920827413311407,2.4250999999999996
Rh2O3,7.816805286208247,0.5692000000000004
AgO,7.240353766368618,0.1358999999999999
CdO2,6.075566230787177,1.2577000000000003
In2O3,6.217981082731637,0.6811999999999996
SnO,5.069638371689286,0.4814999999999996
SbO2,5.289689322494436,0.9338000000000006
TeO2,5.362720434110516,2.2279000000000004
IO3,4.856167960986448,1.7939999999999996
XeO3,4.239816261923114,2.1319999999999997
Cs2O,4.047969271736823,0.5912999999999999
BaO2,5.391924716041924,2.2382999999999997
La2O3,6.51697408050317,3.8443999999999994
CeO2,5.962113689111615,1.9556
Pr2O3,6.655486593225522,3.5619
Nd2O3,6.126903686347984,0.9037999999999999
Pm2O3,6.6112267848317945,3.7665999999999995
SmO3,4.78943668419783,0.17679999999999996
Gd2O3,7.507104057720099,2.8857999999999997
Tb2O3,7.837167525829357,3.9006
Dy2O3,8.144288885270791,3.9251000000000005
Ho2O3,9.252990097963263,4.2394
Er2O3,9.517566320934485,4.1922
Tm2O3,8.918748421755184,3.9804000000000004
YbO2,9.117023218150912,3.1308
Lu2O3,10.25207553409748,4.2764999999999995
HfO2,8.793253061670558,3.4010000000000002
Ta2O5,6.385202325482179,2.96
W3O8,6.712067857917779,1.7018
ReO5,4.907745813539109,0.33430000000000004
OsO4,4.389482859052567,3.258
PtO2,9.198818953042023,1.4874999999999998
Au2O3,10.406697348337108,0.8199999999999998
HgO,9.849066293204165,1.1911
Tl4O3,9.508465766639866,0.9695999999999998
Pb2O3,9.254250036656503,1.0725999999999996
Bi2O3,8.137832067615143,2.5884
Ac2O3,8.974658671793243,3.5230999999999995
ThO2,9.882025209471074,4.424999999999999
UO3,8.629546763173185,1.9104999999999999
NaF,2.6926719740958593,6.0943
MgF2,3.035057474956588,6.824
AlF3,2.8887968435790676,7.4251
SiF4,1.9733915652268283,7.7173
PF5,2.2864841939671856,7.0881
SF6,2.257255712321843,5.775500000000001
ClF3,2.282502499435791,2.4608
KF3,2.30321401366526,0.6421000000000001
CaF2,3.3433590594809908,7.4573
ScF3,2.5087389186286493,6.0792
TiF4,2.7088272472152375,4.166
VF5,2.5454711366392355,2.8066000000000004
CrF5,2.652989288602551,1.1817000000000002
MnF3,3.1565076320605288,0.2602000000000002
FeF2,4.050506950940577,3.2415
CoF3,3.778643658074048,1.1599
NiF4,2.9554388784476147,0.9929000000000001
ZnF2,4.752236361707313,3.5618
GaF3,4.242093826748573,4.705
GeF2,3.5728555836975797,4.1959
AsF3,3.063385396908514,5.3681
SeF4,2.9862975472939643,4.1353
BrF5,2.876906709641475,3.4387000000000003
KrF2,3.1571604046386486,2.8529
RbF3,3.0987999471327194,2.1367000000000003
SrF2,4.133835590503156,6.7528
YF3,4.653595127583926,5.617299999999999
ZrF4,0.7919624884552582,4.358900000000001
Nb2F5,4.792550285586829,0.1513
MoF6,2.9466581448485427,4.1631
TcF4,3.5758724665761656,1.2913000000000001
RuF4,4.346980494936585,0.5231
RhF6,2.678946301337457,0.8929999999999998
PdF4,4.473437928890828,0.6701999999999999
AgF3,4.553779200792489,0.14480000000000004
CdF2,6.029136985585033,2.8997
InF3,4.711740351019401,4.0073
Sn3F8,4.47251714302877,3.1504
Sb11F43,4.026649280432314,3.5092999999999996
TeF6,3.234782501475148,4.4437999999999995
IF7,3.515397598621534,1.4709999999999996
XeF3,3.718186044211467,2.48
CsF,4.971192283857085,5.9329
BaF3,4.512646114255365,0.8828
LaF3,5.966362541672174,4.9443
CeF3,6.18962453959886,0.0005999999999994898
PrF3,6.219166120719522,5.4614
NdF3,6.332445770639663,7.6168000000000005
PmF3,7.189230229194095,4.9775
SmF3,6.510594130819424,7.7298
GdF3,7.8281609538215395,2.8718
TbF3,7.1635361364916195,7.7513000000000005
DyF3,7.692129852509395,7.8626
HoF3,7.5826089523820315,7.7482
ErF3,7.477902736191699,7.6163
TmF3,9.017008275483983,5.395300000000001
YbF2,7.541454265483284,6.734500000000001
LuF3,9.370970817281368,6.2697
HfF4,6.888962035291714,5.3947
TaF5,5.9244935295535885,3.4232000000000005
WF5,4.377081780885939,3.1906000000000003
ReF7,4.6570905370199895,1.9777
IrF3,8.025757984144391,0.9249999999999998
PtF4,6.560004429214969,1.1225
Au3F8,6.790501751709266,0.546
HgF2,9.65283827540716,0.7638
TlF,7.95339548909987,2.9894000000000003
PbF3,6.573320898004783,1.9099000000000002
BiF5,4.498726793680793,1.9047999999999998
AcF3,8.522773405708751,6.0891
ThF4,6.0334783665920275,6.5408
UF5,5.151624436156307,0.7521000000000001
NpF6,4.485269434475244,0.92
PuF3,9.33550989607963,0.054199999999999804
NaMg149,1.7501888309024305,0.5471999999999997
NaSi,1.7520509147025638,1.2341000000000002
Na3P11,2.046217285818097,1.8363999999999998
Na2S,1.9901066186971215,2.1176000000000004
Na2Cl,1.5743489533879993,0.1463000000000001
NaGe,3.071039345103073,0.6651999999999998
Na3As,2.3377900025456384,0.06690000000000018
NaSe,3.245401308232714,0.4799
NaBr,3.12079896505031,4.0899
Na3Rh,2.8361237831360735,0.0045000000000000595
Na2Sn,2.8992288209296815,9.999999999976694e-05
Na3Sb,2.6471515962367618,0.39859999999999984
Na2Te,2.923364024780685,2.0247
NaI,3.572370187771355,3.5255
BaNa2,2.217756405138747,0.00969999999999982
Na9Hg,0.1331743494553075,0.2319
Na3Bi,3.629908821844426,0.006699999999999928
MgAl,2.213918505790005,0.1398999999999999
Mg149Si,1.7726823843611035,0.3403999999999998
Mg3P2,2.038035523077249,1.6067999999999998
MgS,2.618786895740039,2.7919
MgCl2,1.8414771020622536,4.9061
KMg149,1.7540023310195936,0.018400000000000194
CaMg149,1.754974510409916,0.4990000000000001
Mg149Sc,1.7741468961219313,0.24960000000000004
MgTi2,3.6143269476730833,0.00140000000000029
Mg149V,1.7839435237971084,0.08070000000000022
Mg149Cr,1.7767294665409317,0.02450000000000019
Mg149Mn,1.7880152507029732,0.10950000000000015
Mg149Fe,1.7705941852050908,0.07790000000000008
Mg149Ni,1.7837381211782772,0.015099999999999891
Mg149Zn,1.7751465463416456,0.5779999999999998
Mg149Ga,1.8015852017398284,0.4779
Mg2Ge,3.0358799017861617,0.18720000000000026
MgAs4,4.46084270542781,0.8219000000000003
MgSe2,4.366840821506756,1.634
Mg149Br,1.7972823597041927,0.0020999999999999908
RbMg149,1.764381938282665,0.021300000000000097
SrMg149,1.7605479746536947,0.46789999999999976
YMg149,1.786909108702249,0.2723
Mg149Zr,1.8007254215575215,0.033399999999999874
Mg149Nb,1.7970143539681167,0.11850000000000005
Mg149Mo,1.8063209156075573,0.15039999999999987
Mg149Tc,1.7998244587948715,0.09729999999999972
Mg149Ru,1.8006734960847441,0.0653999999999999
Mg149Rh,1.8036996595305652,0.04420000000000002
Mg149Pd,1.8151232545836908,0.014100000000000001
Mg149Ag,1.8161085579644776,0.5665
Mg149Cd,1.814631133775699,0.5741999999999998
Mg149In,1.8006973044561951,0.5296000000000003
Mg149Sn,1.8168575158525901,0.41810000000000036
Mg149Sb,1.797446281941667,0.2667999999999999
Mg149Te,1.8247585635193717,0.15290000000000026
MgI2,3.892506557492821,3.6163000000000003
BaMg149,1.7823283308216402,0.36219999999999963
PrMg149,1.8103101627551916,0.17520000000000024
NdMg149,1.7915381913272443,0.19399999999999995
PmMg149,1.8110490665389962,0.19700000000000006
SmMg149,1.8033583379387892,0.21370000000000022
EuMg149,1.805581099566598,0.02300000000000013
TbMg149,1.8142392485019039,0.2530999999999999
DyMg149,1.8092985701556699,0.2636000000000003
HoMg149,1.8057694468227303,0.27990000000000004
ErMg149,1.826888502146411,0.2856000000000001
YbMg149,1.8146127664862217,0.4868999999999999
LuMg149,1.815456799374423,0.32550000000000034
HfMg,7.406347821508916,0.024499999999999744
Mg149Ta,1.8363907791572092,0.14610000000000012
Mg149Re,1.8343049070309845,0.11079999999999979
Mg149Os,1.848943753958061,0.07920000000000016
Mg149Ir,1.8411368181960024,0.05410000000000004
Mg149Pt,1.8424840797425686,0.018000000000000238
Mg149Au,1.865784366104125,0.5612999999999997
Mg149Hg,1.8543735039656797,0.5682
Mg149Tl,1.8613493277325526,0.4887999999999999
Mg149Pb,1.8571563057654037,0.383
Mg149Bi,1.836298486207587,0.2936000000000001
AcMg149,1.8290150175607751,0.2168000000000001
ThMg149,1.8614992682353448,0.023400000000000087
AlP,2.3047844952969645,1.6302000000000003
Al2S3,2.632899402075954,1.6714000000000002
AlCl3,2.2152488347200583,5.2758
Al27V,1.2874030816427238,0.2945
AlCr2,5.748721610267061,0.007200000000000095
Al6Ge5,3.8716354436166034,0.49599999999999955
AlAs,3.5907006473456375,1.5189999999999997
Al2Se3,0.3396089974975278,0.5859999999999994
AlBr3,2.6507757654459665,4.0967
Sr5Al9,3.185370382003149,0.01100000000000012
Al2Ru,6.0985928914226735,0.09280000000000044
AlSb,4.07841125964708,1.2272999999999996
Al2Te3,4.339510598034652,1.3322000000000003
AlI3,3.204476174802493,3.2547
GdAl2,5.660330598127071,0.059500000000000774
Al4W,5.975828978048769,0.027000000000000135
Al2Os,9.597863563734983,0.3106000000000009
PuAl3,7.218142845871401,0.0023999999999997357
SiP2,2.110661783024119,1.4224
SiS2,1.970668263245673,3.3838
SiCl2,1.6461250118545865,2.0151
KSi,1.7429916897367164,1.2619000000000002
Ca3Si4,2.4576028000105423,0.41380000000000017
CrSi2,5.032658966971791,0.3864000000000001
Mn15Si26,5.257389138969345,0.009700000000000486
FeSi,6.325407629913122,0.1673000000000009
Cu7Si6,0.12637291654506613,0.006399999999999739
SiGe,3.8238473332210394,0.6092000000000004
SiAs2,4.061514564406959,0.8919999999999999
SiSe2,2.8893912804017114,2.1632000000000002
SiBr2,2.754363072148116,2.3621
RbSi,2.6311462539684864,1.3499999999999999
Sr2Si,3.3534620387178156,0.3466999999999998
Si2Mo,6.204198863257148,0.14009999999999856
Si7Tc4,6.459197941856074,1.0490999999999993
Si3Ru2,6.792917905112991,0.5510999999999999
SiSn,4.371082088054384,0.4291999999999998
Si19Te8,4.38966312761527,0.8865999999999996
SiI4,3.223328335793342,2.8561
CsSi,3.3124348126349963,1.6183
BaSi2,4.139449193314918,0.03420000000000023
La5Si4,5.32686188352325,0.014499999999999957
EuSi6,4.022739748860327,0.011400000000000077
GdSi2,6.072108382178617,0.013999999999999346
Yb4Si7,6.279217986905242,0.010099999999999554
LuSi2,6.981249909983486,0.02259999999999973
Si2W,9.735243599750927,0.08200000000000074
Re4Si7,10.165826853989353,0.046499999999999986
Si3Os2,10.820074766199477,0.8552999999999997
Si5Ir3,9.86915498510194,0.9339000000000013
P4S9,1.6979265980673999,2.697
PCl3,1.5444091026304012,4.0342
K2P3,1.9148645466766194,0.9005999999999998
Ca5P8,2.522200608625159,1.1444
ScP,2.4130840650633156,1.6301999999999999
MnP4,4.081047475657841,0.5601000000000003
FeP4,4.205289670125828,0.8437000000000001
CoP3,4.3827480708779465,0.27949999999999964
NiP2,4.511190732143122,0.3605999999999998
Cu3P,7.336044346319679,0.11369999999999969
ZnP2,3.4896218493381594,1.4656000000000002
GaP,4.36211233671557,0.21080000000000076
GeP,3.9918111930612477,0.8174000000000001
AsP,4.494691004631642,0.23350000000000026
P2Se5,3.3669062093538824,1.3289
PBr3,2.516563171089329,3.3255
Rb2P3,2.6439835472020095,0.9313000000000002
Sr3P4,3.4849580564736415,0.9036000000000004
YP5,3.297737371899245,0.1636999999999995
Nb7P4,7.305969860052725,0.0013999999999994017
TcP4,4.640956444377201,0.9091000000000005
P4Ru,4.736394088572569,1.0920999999999994
P2Rh,5.938718579173222,0.39509999999999934
P2Pd,5.431193337368535,0.34529999999999994
AgP15,2.6803589136845654,1.2518000000000002
CdP2,4.019570612442359,1.4388999999999998
InP,4.569158634651977,0.5146000000000006
Sn4P3,5.636036716580478,0.031500000000000306
PI2,3.3323308932917364,1.8951000000000002
CsP7,2.5404312331078462,1.2713999999999994
